time,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,blinkStrength,poorSignalLevel
202.7719810999697,27,48,124774,32989,6621,8572,7917,3354,2471,3671,0,0
204.77482369996142,17,61,748382,60936,37849,16043,9864,11946,4958,8732,0,0
206.77792549994774,23,48,562031,97032,25541,9613,55896,22559,15215,13793,0,0
207.7791485999478,27,78,154192,8178,13856,9242,7411,6375,4841,3948,0,0
210.78261049999855,23,77,840470,110573,16702,33700,32428,7542,3857,7402,0,0
211.783705299953,37,67,674763,12273,6776,8352,22037,11304,3657,4615,0,0
212.7848326000385,27,81,585368,226890,74976,89769,23961,23575,31943,28035,0,0
214.7881929000141,16,53,195724,237671,14621,19124,12772,12910,11451,5799,0,0
215.78994919999968,21,30,707307,241751,6553,13437,31890,24294,11131,15023,0,0
216.79174040001817,1,26,607333,16554,2123,2202,1560,856,1803,2673,0,0
217.79268089996185,13,13,513538,240654,28091,43456,33185,72069,23847,19027,0,0
220.794675800018,24,27,350281,130769,15451,6558,3512,8420,3617,7548,0,0
222.79766949999612,41,40,477608,43293,26243,20887,21869,32318,15462,15429,0,0
226.80352680000942,43,35,2208599,266080,22540,34565,36720,85874,21222,6704,0,0
227.8048117000144,38,37,978815,54479,3974,11165,6631,9419,17045,3715,0,0
230.8080149999587,40,40,1349388,104620,17271,6125,9908,10092,7998,5914,0,0
232.81087990000378,30,24,2007730,210827,26868,24581,24594,40555,22492,12924,0,0
233.8127744999947,20,53,754129,28284,32709,14302,5696,5377,7733,9479,0,0
236.81996830005664,23,51,1632875,303420,7142,33810,19551,39942,19652,10202,0,0
237.82106450002175,29,54,169074,7143,1062,1788,955,3282,1003,908,0,0
238.82235889998265,40,48,52762,51254,35269,28771,14180,28157,8498,8225,0,0
240.82443339994643,35,54,866580,213928,67551,62018,15435,24211,5836,8638,0,0
243.8275125999935,40,63,156836,68922,8558,7286,4959,17471,16106,10284,0,0
245.83015359996352,29,63,163541,37316,8394,4419,5674,4829,6929,2255,0,0
246.8324993000133,34,51,513478,20577,3582,9401,17338,11151,4898,3889,0,0
248.83509980002418,38,44,172535,98937,19556,18556,7658,20090,3014,3764,0,0
250.83708069997374,34,61,1042527,61129,40658,15571,7966,14087,5052,4570,0,0
251.8383574000327,43,64,557694,36568,14230,8752,7291,17716,3669,3673,0,0
252.84002140001394,56,64,41063,12617,7145,10950,4064,47154,19751,9490,0,0
253.84235940000508,44,48,261072,100958,7369,2141,4149,4019,5117,6562,0,0
254.84350329998415,53,53,35735,30803,30046,31575,11026,25096,32978,10493,0,0
256.8463997000363,41,50,664509,87486,15155,14699,15934,8827,3710,3955,0,0
260.8500404000515,14,48,137007,238050,63343,9607,22508,22245,12495,8117,0,0
261.85126969998237,37,67,288100,13244,12456,563,6337,11276,4868,3743,0,0
262.8524561000522,37,57,329234,18823,3575,9345,2205,8920,4183,3509,0,0
264.85521039995365,44,63,1360744,60296,14863,19273,8564,19282,14905,7509,0,0
265.857192400028,54,74,386098,12484,8724,4988,9226,6123,3978,2867,0,0
266.8590362999821,41,67,115710,194813,55296,25255,61592,22795,12857,28748,0,0
267.8602050000336,44,60,130076,19173,5671,3214,8221,11749,3055,2524,0,0
269.86255149997305,38,38,494724,149400,10739,3963,16428,38365,10507,17215,0,0
270.86410979996435,30,29,388483,506405,28435,57551,58599,21102,17669,9482,0,0
273.8678383999504,27,35,63194,73299,11430,25534,8341,34353,24362,9488,0,0
274.86966880003456,26,23,264362,56673,6151,9978,4919,5825,2571,3140,0,0
275.87169509998057,24,37,164543,28663,1698,7096,6692,6622,985,744,0,0
277.87437450001016,29,40,291067,23645,2242,2713,1768,1754,2195,424,0,0
278.87529969995376,37,37,9333,8651,748,4950,1026,12825,7417,2418,0,0
280.87744660000317,40,41,355228,21475,9553,2571,9372,3895,4547,2122,0,0
281.8787436999846,29,37,334684,52047,3144,5338,5636,3111,1330,1531,0,0
284.88384949998,37,40,715050,125260,25994,11794,27786,21041,6648,5767,0,0
286.88706189999357,17,41,1163238,76062,13233,14553,6570,10180,3822,3431,0,0
288.88944840000477,14,47,706597,42108,6686,17831,3436,4830,4155,1743,0,0
291.8919005000498,20,64,196733,44946,40847,1856,8177,9210,6694,4582,0,0
293.8952790000476,20,77,773667,70212,19711,21818,2957,14716,5064,4509,0,0
294.89715309999883,20,57,674817,149936,4893,10068,18578,15201,12610,6404,0,0
297.9019557000138,20,60,351136,30142,11480,9683,8882,3292,1910,1541,0,0
298.9037552999798,23,48,412169,175764,39900,18639,13408,39280,21482,17731,0,0
299.905498099979,27,41,510731,115552,31964,17422,20469,49008,9567,14371,0,0
301.9076967999572,20,41,596259,224497,10112,8823,7976,7296,5904,5281,0,0
304.91158820001874,23,17,372123,124579,9467,5616,18298,14011,6509,3479,0,0
305.9139361999696,17,13,1021739,251877,20610,35912,21655,26468,12179,22090,0,0
307.91688709997106,8,16,978767,35178,13159,2710,6426,3848,3179,2758,0,0
310.9200430000201,17,35,750802,239728,64230,38573,37638,39679,12600,23296,0,0
311.9230284000514,16,37,716962,475245,17090,45957,15651,42521,18867,12438,0,0
312.92458690004423,13,63,831072,153710,190711,29490,7991,18464,33509,18391,0,0
313.92635760002304,7,48,809681,325900,14293,24333,21500,14062,20599,5901,0,0
314.92785950005054,8,48,247280,195943,71213,23087,29447,43689,17553,6510,0,0
315.9288863999536,8,54,414092,202122,2299,45600,12295,19474,13724,10044,0,0
317.93238280003425,14,40,266339,22321,7501,11359,16196,5607,4707,5896,0,0
319.9348312000511,29,64,599117,42947,42602,11456,20903,18460,11222,3467,0,0
320.9362898999825,17,51,383013,139518,12842,6529,18426,5122,5815,1786,0,0
322.9399625000078,17,41,139589,39927,1554,2448,3174,3233,1284,1031,0,0
326.9450945999706,16,38,2228416,140968,39107,22918,30274,20116,7255,9186,0,0
327.9464565999806,11,26,1175926,113477,28677,8662,10195,17485,23333,16293,0,0
328.9475273999851,24,43,723436,113112,30533,43180,19563,27092,16949,13938,0,0
330.94952799996827,26,43,397375,300884,27480,9300,57750,35223,34714,5831,0,0
331.9508506000275,26,27,3576579,404083,36944,18510,42210,44328,21473,7879,0,0
332.9527602000162,21,24,727359,107561,5032,23380,7588,7889,3252,3455,0,0
334.9563857000321,20,23,352126,28673,12963,8419,21311,6399,4620,2314,0,0
335.9578604999697,21,43,1092809,34807,9923,6063,2983,6527,6910,1909,0,0
336.95951459999196,23,57,1199661,150001,56066,12942,26027,24518,13556,22206,0,0
337.96076090005226,29,64,736160,106792,2219,53290,17772,23809,17154,10507,0,0
340.9639766999753,37,78,119301,10290,16107,16519,9207,11731,2740,2669,0,0
342.96624880004674,43,84,406230,62989,26945,55659,28252,32607,22205,12776,0,0
344.969039699994,43,90,484704,146865,86019,22401,34468,27103,12533,12431,0,0
346.9724837000249,50,96,1187542,17744,17360,4700,8712,11230,3715,5630,0,0
347.97381470003165,30,63,898334,313145,20133,7405,9972,10350,7598,4159,0,0
350.9770028999774,20,41,1726104,643754,14927,75367,75648,46287,47697,13021,0,0
351.97947609995026,17,17,1102609,136533,5194,10082,6973,13178,4602,1624,0,0
352.9814179999521,34,1,64340,24458,6340,4362,4671,53998,6540,19013,0,0
353.983577099978,38,21,77498,119919,58157,10740,8785,10589,6766,3432,0,0
354.9843621000182,44,38,409844,76852,34646,10650,20549,15201,13753,7147,0,0
358.98867490002885,50,61,117033,6866,3875,2345,3016,1881,1397,1015,0,0
361.9929025999736,24,74,73922,24355,6320,3858,1191,3556,2640,411,0,0
362.99461369996425,30,70,238637,35132,13046,5709,7407,6570,6736,2778,0,0
364.9973063999787,41,78,822496,32416,45143,8476,9935,34812,46779,8250,0,0
367.00018430000637,30,69,191600,159103,35357,11946,7313,8646,4651,2070,0,0
368.00137940002605,34,66,1441661,226272,63691,28632,66828,39500,37529,10454,0,0
371.0042716000462,35,60,188487,111706,18259,13450,11740,20451,2732,4067,0,0
373.006385799963,16,43,1443372,320468,53226,12826,15014,19515,7362,6303,0,0
374.0092684000265,20,47,2077298,71036,22788,9331,20634,5720,14141,9140,0,0
375.01161689998116,16,48,1383779,505320,121650,80530,36155,58443,13252,25059,0,0
379.0175654999912,10,40,900956,505164,61759,25544,20912,36262,15044,19471,0,0
380.0187047000509,11,30,949053,102707,9883,14950,5439,9652,7550,4587,0,0
382.02057329996023,8,26,59392,24669,3439,2961,3687,1821,1037,1039,0,0
386.0284192999825,17,38,2121911,146571,47654,57129,36568,46801,32223,17145,0,0
