time,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,blinkStrength,poorSignalLevel,label
13.614675699999907,0,0,36246,10070,1654,3824,3255,6656,2716,1766,0,0,-1
14.616009399999939,0,0,93664,14077,9229,17742,8797,3429,1287,613,0,0,-1
15.616984700000103,34,47,52535,30282,24199,11610,10177,6249,1014,1260,0,0,-1
16.618145599999934,27,54,2591340,67698,13330,19267,25299,11824,3377,3252,0,0,-1
17.620316300000013,37,53,254518,28574,16842,7417,11898,14008,2948,2213,0,0,-1
19.623327700000118,35,53,148226,90695,75688,24156,26959,14766,7069,5143,0,0,-1
20.642670299999963,24,21,68026,75656,1921,11811,16226,4587,4278,1322,0,0,-1
21.643961499999932,11,29,34846,24648,8645,6967,840,1539,1902,303,0,0,-1
22.644870900000114,1,24,290177,126184,33676,9648,10424,4433,2597,2478,0,0,-1
23.646538799999917,1,24,172631,14977,15641,5044,10797,4853,5452,3904,0,0,-1
24.6480497,7,40,425796,109554,10578,8240,5790,6435,1259,2494,0,0,-1
26.64971639999999,13,47,632436,23888,18723,17989,7913,4339,2550,1034,0,0,-1
27.651014900000064,4,35,7575,44821,28084,7025,6944,3782,1833,1345,0,0,-1
28.65323760000001,8,60,414510,33545,24777,13894,10987,4162,4599,2739,0,0,-1
29.654363399999966,1,56,19310,51441,11156,6420,8587,2789,2613,2848,0,0,-1
30.65602549999994,1,35,39419,57030,13269,3951,5985,4538,1620,2148,0,0,-1
31.657221299999946,3,29,129185,36078,11630,11970,11256,5722,2792,4417,0,0,-1
32.65907250000009,17,16,6304,15027,3364,5207,7357,5674,3219,3122,0,0,-1
33.66025259999992,27,44,9083,10140,29396,3060,4179,3679,2262,1028,0,0,-1
34.66167169999994,34,43,457268,45031,9154,2682,3352,4780,7073,938,0,0,-1
35.663324600000124,29,34,175020,55463,5623,10678,7084,5370,2696,1598,0,0,-1
36.664531500000066,11,27,90147,105682,15787,14901,8793,6951,2794,1742,0,0,-1
37.66618429999994,14,13,71480,21929,4856,14664,3203,4812,3325,1856,0,0,-1
38.66785980000009,21,27,92829,21264,11265,7188,1589,6625,2539,1177,0,0,-1
39.66978210000002,34,30,83169,40656,13886,2472,9705,10489,2984,3672,0,0,-1
40.67149900000004,51,44,58805,16176,12675,4381,6082,8350,2453,2576,0,0,-1
41.6729136,43,48,12823,47981,36019,21264,10769,5379,3073,2799,0,0,-1
42.67520949999994,43,53,18266,12287,5212,15826,8150,5735,3623,4069,0,0,-1
43.676705200000015,34,57,219587,55984,11293,19351,3609,6827,2196,2269,0,0,-1
44.678356699999995,26,44,16790,80155,10067,15945,5788,14714,2473,2526,0,0,-1
45.680196000000024,34,24,131226,71494,1875,17813,15912,8335,3449,4028,0,0,-1
46.72056160000011,16,1,523612,399877,27999,53237,15211,18389,6859,1687,0,0,-1
48.723372200000085,16,1,264931,24990,4806,3744,5121,3067,2288,827,0,0,-1
49.72473420000006,21,7,399202,37358,13889,24686,8076,19642,2513,3418,0,0,-1
50.72594069999991,23,11,251856,49815,11248,5118,2320,7346,554,1149,0,0,-1
51.727996000000076,35,38,497601,44624,32881,41570,16460,12389,3309,1994,0,0,-1
52.72908050000001,40,40,64685,104197,27639,7045,8422,16735,4599,4663,0,0,-1
53.7332387,26,41,45860,27017,14148,6393,2227,3250,3041,7075,0,0,-1
54.7352422,23,44,48425,50439,16420,7532,7193,6570,2213,4769,0,0,-1
55.73705790000008,23,35,202319,10921,6413,2451,2661,1942,1564,1464,0,0,-1
56.73825800000009,38,37,68085,17466,5649,9220,14234,15936,8202,5272,0,0,-1
57.73924469999997,37,24,45267,30972,2055,8048,2895,2435,4111,2787,0,0,-1
58.74075740000012,41,34,7181,30233,23605,4207,4212,7542,4181,4539,0,0,-1
59.742018200000075,30,29,58654,75629,19043,14564,4917,4705,2663,5057,0,0,-1
60.74301250000008,17,43,20779,21637,23663,7188,10263,7797,4965,4773,0,0,-1
61.74449789999994,14,35,60159,26613,2584,2302,2002,1395,569,1280,0,0,-1
62.746134900000015,20,27,48354,26426,12407,2663,5618,8018,10276,1735,0,0,-1
63.74788239999998,27,30,27391,54028,9858,30890,8066,8984,7053,5719,0,0,-1
64.7489951,10,29,346735,64883,50186,6083,11105,3946,4867,5166,0,0,-1
65.75188589999993,21,41,182577,66486,20960,10027,14908,10045,6666,5311,0,0,-1
66.75335050000012,30,47,36990,6362,3678,5736,3953,6663,11134,3979,0,0,-1
67.75454220000006,43,53,43431,38314,3758,37398,11029,6557,7405,2351,0,0,-1
68.75578650000011,29,78,15780,11715,4955,19980,687,1229,1902,1381,0,0,-1
71.75835110000003,20,83,124199,29560,13008,20294,8234,10721,7047,3018,0,0,-1
72.76057070000002,17,57,163765,19002,290,3364,3537,2590,2770,800,0,0,-1
73.76200659999995,7,37,193127,222851,45263,7071,21128,7513,13951,4459,0,0,-1
74.76354250000009,14,27,166210,59209,42554,32151,8047,10395,8578,5463,0,0,-1
75.7651386,1,16,466999,234983,58809,44708,12638,15270,6443,3720,0,0,-1
76.76747879999994,4,40,94345,58308,62807,12998,17076,23638,6736,9023,0,0,-1
77.76849110000012,27,61,28283,12293,8481,14321,10245,8180,6742,4889,0,0,-1
78.77027180000005,37,37,33891,55805,6300,7099,6600,10500,11903,3931,0,0,-1
79.77187670000012,48,51,22390,49141,54229,14021,13027,13457,7458,1941,0,0,-1
80.77305610000008,47,24,29031,33028,1579,4309,4942,5966,987,3126,0,0,-1
83.7781493,54,16,50552,15412,4765,9580,5155,14834,3902,11807,0,0,-1
84.77936799999998,60,16,180465,41056,1526,9276,4360,10672,9024,2309,0,0,-1
85.78051290000008,70,4,95209,11897,7560,840,2576,6727,5002,3639,0,0,-1
86.78155670000001,77,37,8604,7848,7677,15692,4202,6815,5353,3088,0,0,-1
87.7828876,61,50,28178,17337,13816,13245,4542,5776,17186,3533,0,0,-1
88.78465310000001,69,57,10896,9156,1704,4984,5135,7172,15166,2769,0,0,-1
89.78566150000006,63,63,9516,14979,2131,12221,4332,5422,3261,8287,0,0,-1
90.7867933,60,47,7601,23408,7053,6698,5780,7014,12952,2207,0,0,-1
91.78890530000012,61,30,11765,19056,4914,6355,6574,4370,8247,5094,0,0,-1
92.79110820000005,56,50,81069,7397,2162,20018,3281,8792,10351,11251,0,0,-1
95.79449629999999,56,50,111554,37475,21225,17277,9434,15083,16101,11148,0,0,-1
96.79607850000002,57,64,23871,21215,14321,26440,6461,12800,8581,4214,0,0,-1
97.79720840000005,57,87,27760,20013,38237,23067,4685,11539,16310,5269,0,0,-1
98.79967749999992,54,80,6035,10523,12641,8723,12484,6897,8891,4684,0,0,-1
99.80112340000005,53,94,12408,14217,7364,34093,2009,9016,7497,3644,0,0,-1
100.80214090000004,60,80,8206,11846,3923,4168,4288,7585,5953,8644,0,0,-1
101.8039369999999,67,64,9001,8704,4949,8283,3410,6483,2992,2232,0,0,-1
102.8051567,66,75,19078,14853,10380,23275,4336,8110,8028,4099,0,0,-1
103.8068611000001,75,64,21566,10269,12534,6642,2320,9522,3441,7158,0,0,-1
104.80789759999993,69,75,47203,7650,1608,12371,9319,5121,10481,2936,0,0,-1
107.81080259999999,54,51,94890,23583,1370,863,1480,2048,2300,1666,0,0,-1
108.81226029999993,56,50,24085,15521,27990,7411,7225,9327,8816,6897,0,0,-1
109.81456120000007,47,43,7409,34281,11110,7604,1726,6722,5987,5575,0,0,-1
110.81540259999997,44,29,107121,77635,7806,11637,9068,20158,11527,1664,0,0,-1
111.8166470000001,50,60,43463,33717,37631,10131,5636,10701,9452,3315,0,0,-1
112.8185704,43,48,501227,60293,28586,3517,6327,9332,7637,13630,0,0,-1
113.81959940000002,50,48,23262,20882,8104,7399,8480,8596,6316,4287,0,0,-1
114.82081960000005,44,64,14371,14891,14506,5483,8176,4930,5682,2021,0,0,-1
115.82278509999992,44,67,78600,12384,11645,22035,10047,6913,7464,3411,0,0,-1
116.82434390000003,66,66,68833,11581,3297,10570,6090,15953,4270,5785,0,0,-1
119.82673199999999,64,80,12315,7773,21092,2904,5287,7048,4078,5130,0,0,-1
120.8279308000001,84,77,12245,7488,21077,3860,10394,10359,7297,9233,0,0,-1
121.82929330000002,53,44,456023,208624,14925,6093,2679,13225,10606,8691,0,0,-1
