time,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,blinkStrength,poorSignalLevel,label
9.220929300000535,0,0,83766,1827,1061,599,483,1347,2074,330,0,25,-1
10.22303170000032,0,0,618918,352980,30418,16339,5498,14653,24514,18988,0,25,-1
11.231490699999995,0,0,202457,248611,41457,18455,34823,22989,27978,17806,0,0,-1
12.239635300000373,0,0,65152,1737,3425,56291,19806,18377,15786,13212,0,0,-1
14.252841600000465,0,0,292282,153844,50999,5496,10935,9735,3235,4204,0,0,-1
15.263974299999973,38,30,1669000,308685,9772,42112,23773,30529,14099,14039,0,0,-1
16.26524040000004,41,20,164822,58473,3139,3961,5290,9650,4344,1953,0,0,-1
17.266506099999788,61,13,19074,32133,3609,8121,17048,22311,22360,15191,0,0,-1
18.277744600000005,84,14,10732,5392,15861,1424,14393,22124,15644,12640,0,0,-1
19.286756700000296,100,26,2124,12015,5811,13447,17099,11681,6582,10463,0,0,-1
20.29043939999974,100,43,46651,12455,15490,7817,9179,11430,10401,13856,0,0,-1
21.30008170000019,100,51,11875,5485,1636,14531,7818,18097,16923,11875,0,0,-1
22.30805969999983,94,50,204519,70655,13771,24539,9695,27415,10750,14619,0,0,-1
23.308719999999994,80,34,298855,459816,15123,20465,46738,46000,17134,17973,0,0,-1
25.324005899999975,80,23,179065,64270,17468,7370,28130,29623,32285,26459,0,0,-1
26.327239299999746,48,11,321949,80649,5059,6185,2450,3624,3407,3977,0,0,-1
27.34257230000003,29,1,317466,174739,8444,10788,17342,8402,5703,9180,0,0,-1
28.359388800000488,44,10,123950,29825,18547,1872,49318,17542,18069,5323,0,0,-1
29.37368830000014,47,17,5707,10012,6135,8291,12271,8362,13556,9074,0,0,-1
30.38120700000036,78,23,5418,15716,1333,7026,6053,17341,18206,6213,0,0,-1
31.384710500000438,88,50,12255,46105,7392,37002,11514,9251,8011,9556,0,0,-1
32.38975769999979,77,64,19813,5505,2296,37208,3361,5734,11504,4780,0,0,-1
33.3942663,67,77,13892,7653,15870,4794,8822,9721,10408,3140,0,0,-1
34.40144130000044,69,66,4858,12881,1481,6401,5701,10177,8808,7757,0,0,-1
35.40564050000012,84,60,8472,17639,7611,3749,11796,12651,5446,5302,0,0,-1
36.408061400000406,96,48,9726,8337,2308,12056,5728,9446,14456,20719,0,0,-1
37.411459599999944,100,40,3659,18945,6925,7349,8135,17383,6062,6516,0,0,-1
