time,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,blinkStrength,poorSignalLevel,label
10.346973900000194,0,0,963989,277818,48803,4613,20453,16937,4332,7715,0,25,0
11.361944400000539,0,0,662710,334897,58661,107655,45936,79972,18972,9191,0,0,0
12.374569999999949,0,0,613251,29193,1692,4909,5247,14532,4647,2120,0,0,0
14.390381000000161,0,0,889457,64630,41912,19725,3683,7390,2852,3425,0,0,0
16.406946199999766,40,37,925450,245955,57861,15459,46300,41206,12428,7444,0,0,0
19.44277880000027,35,35,335348,213468,44500,37266,63569,23251,27165,4792,0,0,0
21.449535300000207,44,41,589658,189571,56414,20187,21244,23385,10682,15009,0,0,0
22.45273929999985,40,38,321597,96520,5257,17604,11571,4362,9313,2993,0,0,0
23.458249700000124,34,48,26353,14562,10326,19475,9113,10739,7350,9236,0,0,0
24.471032999999807,43,60,9156,18433,13879,9806,3315,8467,4650,3758,0,0,0
25.47930830000041,54,69,4633,6907,4224,3708,2463,6708,5184,3489,0,0,0
26.486273999999867,80,64,24135,19375,3057,2057,10112,7914,8508,6859,0,0,0
27.496162800000093,91,56,25478,6565,2455,5891,1303,11679,10729,4999,0,0,0
28.510969699999805,67,44,268947,124319,33224,10781,6309,3407,1359,1525,0,0,0
30.519145500000377,51,40,43637,49421,8303,13118,11317,6678,4422,6540,0,0,0
31.520768299999872,54,48,10756,8858,1652,3317,3382,7040,4416,5471,0,0,0
32.5255059,60,66,21711,4388,3649,5546,6081,2719,2365,1637,0,0,0
33.534235799999806,56,53,14289,22618,1617,2194,12890,3103,4310,2294,0,0,0
34.54792710000038,75,37,14408,4140,2565,719,6035,8195,3322,2250,0,0,0
35.56370109999989,67,48,22880,10066,221,11864,1720,3736,2833,4627,0,0,0
36.568146600000546,61,47,22554,120454,86562,36569,38318,15867,3397,5385,0,0,0
38.5842347,61,48,400342,80875,9524,1265,10117,11854,3238,6063,0,0,0
39.593007899999975,48,51,773039,32312,9926,18191,57285,18892,18992,8548,0,0,0
40.60851550000007,51,40,13171,61460,9278,16878,24078,20917,6782,7378,0,0,0
41.617247000000134,66,34,8771,19519,12345,2096,4444,8608,6620,6218,0,0,0
42.62774830000035,61,35,115133,69598,2816,7142,4325,6616,3017,4201,0,0,0
43.63803700000062,48,67,69547,8099,13360,13511,4698,6793,7305,2443,0,0,0
44.63916340000014,37,43,271721,85716,735,828,7849,7656,11384,2580,0,0,0
45.655975700000454,34,64,615010,15169,9371,3639,2227,1739,1439,495,0,0,0
47.673391600000286,24,57,1296910,271872,49051,32307,43988,17114,17046,10492,0,0,0
48.674656300000606,13,51,100295,23385,11868,5986,6256,2388,889,1932,0,0,0
49.683379300000524,8,84,1078182,55468,51445,10048,12144,6352,5601,4037,0,0,0
50.695115700000315,13,83,384523,68673,14137,33324,6075,14255,15686,12927,0,0,0
51.71062230000007,29,93,162211,6093,6073,3078,2864,3383,1025,1925,0,0,0
52.72194740000032,41,91,181743,34156,8650,20672,17913,12802,11030,4770,0,0,0
53.725551700000324,69,84,23288,4405,10445,99,10533,11472,6184,3791,0,0,0
54.72958310000013,74,87,17692,29327,16306,14128,12408,9660,2007,4169,0,0,0
55.7455458,74,84,12698,13557,7255,7508,3064,6370,8615,3829,0,0,0
56.75757919999978,81,81,113561,17100,7940,1710,6071,11245,4915,5879,0,0,0
57.76034710000022,70,87,191000,9261,9001,10087,8108,8183,4609,3747,0,0,0
58.775512199999866,64,80,28723,24801,15941,20321,23273,6129,8963,5380,0,0,0
59.791214599999876,47,78,2345906,245993,13118,50242,21585,17333,5508,5169,0,0,0
60.79850940000051,37,67,49366,3910,896,529,1958,580,629,238,0,0,0
61.80541549999998,38,61,47271,23153,670,4143,5161,8048,5112,2919,0,0,0
62.81606939999983,47,63,313824,44456,28631,35988,16259,24434,18811,10038,0,0,0
63.828949300000204,47,63,1737785,398388,132444,22256,35215,23619,14749,20270,0,51,0
64.83115730000009,41,60,1345367,112756,15129,6471,11690,5256,3989,3674,0,0,0
65.84386710000035,48,67,1363010,84405,50007,22645,12452,31639,21248,21453,0,0,0
66.84583399999974,51,75,102008,74711,9844,33927,16583,49541,15482,7055,0,0,0
67.84959979999985,64,64,107891,20198,7194,17658,47677,29116,13985,9740,0,0,0
68.85651460000008,81,75,128854,107951,68449,25707,63425,40398,4721,9708,0,0,0
70.87231340000017,77,70,376805,195153,15575,77848,14146,36233,20869,20565,0,0,0
71.87455610000052,70,78,371905,23332,12183,20719,19038,13342,20097,14610,0,0,0
74.88925590000053,61,88,145256,14860,17861,11370,7443,11662,16999,19322,0,0,0
75.8964564,54,78,43760,104802,4564,17040,22185,13160,21554,10364,0,0,0
76.9073741,47,69,408027,118134,33377,6320,9472,27612,14750,7744,0,0,0
77.91672269999981,30,56,624726,169877,16120,23825,37878,14637,13298,13002,0,0,0
78.93062480000026,38,66,1752875,66566,17333,31273,18101,19641,3397,4930,0,0,0
79.94129479999992,29,67,2210838,203816,54769,46375,10263,13269,10364,2461,0,0,0
80.94237299999986,24,67,13811,78724,12758,14690,9334,10836,6175,4194,0,0,0
81.94812199999978,51,67,65950,80198,24154,7927,14860,22630,4022,16185,0,0,0
85.98888009999973,70,66,89279,3267,1376,647,874,1498,653,834,0,0,0
87.00111579999975,78,70,601860,62735,45727,1119,11119,18818,8248,15174,0,0,0
88.01138619999983,57,74,1110179,82110,22314,17999,5837,15213,3748,1458,0,0,0
89.02540630000021,51,77,164365,32335,1410,18681,11924,5599,6807,6765,0,0,0
90.03907220000019,43,87,326956,30389,35887,13583,10958,9814,5402,5679,0,0,0
91.055846,41,88,113357,31014,18986,12805,9203,10889,5901,3284,0,0,0
92.06398470000022,34,88,814838,36400,10211,7413,4942,2943,13427,4870,0,0,0
93.07396830000016,23,94,1281948,138289,136768,8455,19223,13214,25460,8628,0,0,0
94.07582619999994,16,91,1874474,265774,154338,44905,60774,28511,53092,34286,0,0,0
95.08069369999976,1,75,88854,454007,31563,24810,47295,12610,19659,13077,0,0,0
99.10249600000043,1,78,1287857,601449,361174,25276,47543,37833,50084,44966,0,0,0
101.12892139999985,1,64,1171384,758480,117671,24509,26779,44548,13452,19618,0,0,0
102.13569319999988,1,57,172439,114561,21006,23950,11357,13458,11304,3914,0,0,0
103.1465417999998,29,56,18579,23396,2504,4359,8970,9415,6327,2793,0,0,0
104.16185150000001,47,61,310540,35165,3750,12889,9796,11735,6986,3749,0,0,0
105.17009510000025,50,63,95536,42779,12411,15013,13151,9192,7193,6786,0,0,0
106.18248970000059,61,77,33131,5231,17088,3591,7907,4266,4614,1846,0,0,0
107.19652010000027,53,84,32202,40547,15011,11748,14555,11113,4190,10466,0,0,0
108.21264659999997,63,90,10585,5505,11071,3471,6055,11481,6856,11265,0,0,0
111.23486180000054,70,96,115456,10373,12291,17342,14542,10713,3343,2898,0,0,0
112.24500429999989,66,80,59931,6524,74,2321,5437,946,2628,1441,0,0,0
113.2592168000001,64,84,23952,18586,4990,13830,6686,5383,6790,3111,0,0,0
114.27182580000044,38,69,6261,87859,11317,1816,8184,4783,3019,1414,0,0,0
115.28131209999992,27,60,1803394,75012,1300,22233,3578,9273,5020,4983,0,0,0
116.29252290000022,30,61,12419,17949,6315,3511,19818,4180,4639,2320,0,0,0
117.30769729999975,30,60,113805,24834,10865,5746,6317,5719,7218,4908,0,0,0
118.31587060000038,44,67,12917,23013,13485,2605,15803,6445,3823,2454,0,0,0
119.3236979000003,51,69,24735,30646,9204,4631,10376,7354,6324,2474,0,0,0
120.32743149999988,50,77,26953,53408,22059,21579,7713,12621,4382,4831,0,0,0
123.36143619999984,38,78,1766207,73229,32021,16000,4813,5572,5217,2750,0,0,0
124.37648520000039,41,69,788915,34860,2590,4340,7003,9241,3615,1537,0,0,0
125.38343390000045,40,67,71416,12485,434,4092,1405,2648,1418,569,0,0,0
126.38834190000034,35,74,226828,35567,40864,12599,18767,7367,6499,8706,0,0,0
127.40225259999988,41,70,1601643,63768,9520,25762,8628,8800,3974,3509,0,0,0
128.41735549999976,37,80,486270,37292,10117,10547,9631,7882,2559,1695,0,0,0
129.42714609999985,38,78,9169,19503,2172,4333,7693,4974,3304,1173,0,0,0
130.43551730000036,54,69,76721,3082,2191,559,2366,2209,1050,232,0,0,0
131.43691000000035,54,64,576704,173464,25500,32392,29037,20703,5258,4045,0,0,0
132.45306960000016,43,66,414105,58833,16402,13596,5161,3794,2421,1336,0,0,0
135.47741029999997,38,84,3263,2623,345,7490,2182,1300,3159,2285,0,0,0
136.48124740000003,24,90,98814,30486,20015,6667,6850,6133,3599,788,0,0,0
137.49689390000003,35,91,45362,16628,1816,9438,7149,6573,9066,4029,0,0,0
