time,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,blinkStrength,poorSignalLevel
13.534979100000783,0,0,58,4,0,1,0,0,0,0,0,25
14.545341500000177,0,0,354125,269584,47319,33774,12911,5151,6043,7622,0,25
15.559326100000362,0,0,3270,6839,8511,2074,4385,8512,5918,2706,0,0
16.57408200000009,0,0,13621,26567,5809,7399,6236,5304,2331,4302,0,0
17.586829600000783,0,0,13531,5958,10647,9282,5494,4999,4188,3835,0,0
18.594929600000796,30,30,189105,146561,14471,19005,4562,6134,7587,8980,0,0
19.5982326000003,30,27,51616,40713,9553,7442,5248,5134,2703,2154,0,0
20.607698400000118,38,43,9655,5353,16556,5739,4350,7087,2333,4789,0,0
21.62196640000002,47,77,18591,29096,17608,7576,12023,5294,10007,2233,0,0
22.63538730000073,60,81,9818,5661,5379,5142,8024,6813,6505,4177,0,0
23.6462190000002,54,75,10010,18101,11809,3795,2745,5015,6437,3231,0,0
24.65197960000023,67,44,4232,6652,1678,2395,2959,5366,5330,4422,0,0
25.662938400000712,69,41,8597,29932,4841,10763,3171,6134,2851,7405,0,0
26.672166199999992,60,41,11101,21912,12632,4881,6173,5069,2790,3855,0,0
27.68340210000042,57,27,34110,33498,3979,5803,6751,4364,3351,2009,0,0
28.69751550000001,51,48,3091,4401,3475,10959,4530,4163,4427,2486,0,0
29.71024900000066,50,57,22207,50905,22451,11830,7989,9398,5329,4238,0,0
30.715702200000123,51,88,3214,11653,26312,17156,1858,6915,2783,1710,0,0
31.722832400000698,41,93,4198,22207,29423,32711,5806,6359,2365,2003,0,0
32.73214940000071,48,94,2855,8253,7116,9960,3834,5824,2759,2986,0,0
33.73423679999996,48,100,10698,16452,17646,15161,3166,6118,3355,3240,0,0
34.74375940000027,57,78,33016,11038,6011,1541,5387,6632,3194,4344,0,0
35.75477580000006,50,81,5597,22754,28982,21212,10643,6134,8752,9957,0,0
36.766571200000726,53,74,4161,8955,2800,15260,9796,5214,2770,3660,0,0
37.77438500000062,38,50,149821,48815,5865,5791,5835,828,1073,497,0,0
38.78163200000017,23,70,42276,22127,40017,18934,7403,3875,2328,3519,0,0
39.7920679000008,16,50,67205,36672,8847,1450,1156,1547,1080,821,0,0
40.802235800000744,14,57,13339,13008,29668,4470,6630,7098,5681,2005,0,0
41.81278999999995,40,64,3640,2365,12256,8310,6033,5925,1311,1573,0,0
42.81590840000081,44,66,55554,10677,1252,2958,2147,997,598,552,0,0
43.82572900000014,53,56,26084,19606,9636,4046,8421,4557,1748,1847,0,0
44.83902770000077,54,54,6524,1931,9873,4963,3362,4978,2892,1348,0,0
45.851882200000546,67,50,7220,20288,1497,6694,3248,10040,5852,3716,0,0
46.8625260000008,64,67,9084,7907,26190,7890,3570,6060,4579,2379,0,0
47.87089020000076,66,88,10280,11356,13116,35979,4995,10253,2051,3159,0,0
48.883153499999935,48,75,11348,126818,61307,19660,4257,6134,2777,3574,0,0
49.88501500000075,48,91,16653,16550,8169,19896,1720,13552,2177,3616,0,0
50.89988790000007,53,83,7727,4700,14182,5853,9134,6201,6170,5485,0,0
51.90788650000013,41,57,174528,110406,34175,3367,7603,6260,7114,11863,0,0
52.92316250000022,54,63,43356,32191,37677,9503,18330,13503,11015,13847,0,0
53.928059400000166,57,61,2735,7497,2926,25536,9213,17489,7373,8616,0,0
54.93624660000023,54,56,4150,15470,3989,12016,2622,5470,3675,4149,0,0
55.94951050000054,67,63,18957,29544,5582,15297,4445,9282,6747,3135,0,0
56.95400510000036,67,56,5078,23686,2741,13460,9072,6627,7621,3152,0,0
57.962059299999964,54,69,3841,10704,20217,17175,4073,5013,2462,3183,0,0
58.96355650000078,54,61,5616,15241,5773,7924,12267,5272,4807,2656,0,0
59.975392600000305,48,54,106341,12464,3465,2334,2924,1432,1199,784,0,0
60.97844090000035,51,51,10148,17990,3528,5575,3150,6359,3798,5060,0,0
61.98648930000036,43,63,7778,5395,61610,33930,4282,3828,1477,3353,0,0
62.998816700000134,43,74,10805,20789,13273,26256,3487,4787,3155,5493,0,0
64.00617920000059,41,75,3422,13864,945,11097,2504,4890,3336,2593,0,0
65.0174506000003,37,74,9729,15812,21463,9589,4860,4608,6599,2904,0,0
66.02314509999997,50,56,4225,14735,26267,11707,9246,8396,2799,4464,0,0
67.03747120000025,60,56,11204,4119,13284,4324,3576,5786,7065,2182,0,0
70.06601350000074,60,63,4808,7667,11137,4726,2887,4976,2420,1258,0,0
71.0684940000001,66,63,7601,6371,19009,6634,6336,6889,7043,1496,0,0
72.07675860000018,57,66,8744,14777,11562,32399,6447,3570,3137,1878,0,0
73.08195599999999,57,51,2355,11690,5207,2414,5197,6583,3951,5147,0,0
74.09227100000044,63,43,1933,16307,8658,4398,3032,11742,1670,3329,0,0
75.10600130000057,60,48,9085,8784,31166,14616,3894,7564,1722,4435,0,0
76.10796720000053,63,35,5720,22019,7535,5477,5764,3091,4821,2939,0,0
77.11469670000042,50,57,14108,6508,38525,7724,3963,3535,1295,4254,0,0
78.12452370000028,41,66,7399,19475,16116,9566,2036,6198,2483,5403,0,0
79.13239450000037,40,63,1981,12692,11713,32461,3990,6040,2931,2018,0,0
82.15990280000005,51,70,843,13724,13822,8486,7530,10556,6685,3497,0,0
83.16928540000026,41,77,1647,34231,47064,18287,2838,4031,2820,4511,0,0
84.17909520000012,41,75,8379,18645,45483,1040,5227,6451,3011,2510,0,0
85.18874230000074,37,61,44023,36703,47025,6806,3625,4285,2919,1036,0,0
86.19682680000005,26,78,7689,7742,36551,4909,2091,3929,2790,3656,0,0
87.20454260000042,34,77,4822,21027,44539,4349,4152,6435,1497,2141,0,0
88.21420760000001,37,74,14042,13922,10458,15175,4575,5806,3070,1240,0,0
89.2206526,51,69,5593,4568,8027,2699,2048,4776,1828,2982,0,0
90.23231490000035,51,54,214747,75945,33612,30844,4145,10844,2768,2550,0,0
93.2513983000008,48,41,281499,190564,53106,21882,11492,15808,12039,14774,0,0
94.26232340000024,44,35,205694,44317,25717,23390,24148,8325,16870,6748,0,0
95.27367780000077,34,26,443517,29864,10884,2640,4225,3420,2749,4083,0,0
96.27943510000023,44,30,18659,11069,21161,28048,6619,19729,22530,32664,0,0
97.29241559999991,51,44,69059,42044,49693,47036,7046,21471,13964,23081,0,0
98.29513990000032,41,37,85403,25854,6021,727,1391,851,5020,1352,0,0
99.30484370000067,56,37,43820,33280,21082,9238,10156,33972,16221,19344,0,0
100.30733990000044,38,11,335183,606668,13767,14677,17735,17121,44325,12340,0,0
101.31589880000047,56,29,17016,9345,57132,13741,4379,7366,7006,7755,0,0
104.33678340000006,50,43,181839,26720,44794,25471,12301,24446,6811,9814,0,0
105.34697630000028,67,67,500774,45361,52779,16516,13564,26841,20261,49776,0,0
106.36136660000011,48,60,529648,356582,25639,26216,23284,13447,22347,12818,0,0
107.36726330000056,51,48,231626,37029,21412,22111,2801,14314,14829,10817,0,0
108.36979400000018,60,43,4268,5945,7544,11860,13917,15588,23061,16216,0,0
109.37447740000061,56,38,1184519,79705,36184,32695,32517,26983,21353,32639,0,0
110.38746390000051,61,38,575022,65107,4507,3532,3545,4417,3819,5786,0,0
111.38934390000031,69,24,19220,17877,5445,1181,13235,11105,3027,5886,0,0
