time,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,blinkStrength,poorSignalLevel
10.594736899999589,0,0,442,175,114,37,29,16,11,6,0,25
11.5960556,0,0,112835,41186,9868,1090,6527,2490,1436,2346,0,25
12.599619100000382,0,0,32489,15272,4486,8079,8613,13463,7409,9551,0,0
13.610102900000129,0,0,760394,99450,17694,19989,7982,16616,9614,4675,0,0
14.62275310000041,0,0,263554,268985,29161,8878,13822,7068,1789,3168,0,0
15.63632570000027,35,53,41739,24283,22557,19051,6511,2881,4955,2007,0,0
16.639017800000147,43,57,24042,27733,8293,12718,4865,11853,2194,3221,0,0
17.640933300000142,43,61,195252,37403,14359,7136,7676,4721,2354,2320,0,0
18.649169299999812,51,54,7041,11993,2406,1134,7305,3725,4885,1704,0,0
19.658606500000133,60,44,17464,16850,3494,8578,4070,4320,5178,5233,0,0
20.66635430000042,44,35,753501,581136,35795,75297,21232,15388,27365,13052,0,0
21.66825830000016,48,21,888345,82201,8993,4890,18961,14395,19397,4382,0,0
22.67993690000003,38,38,1228987,27244,20888,9359,3934,3022,1132,791,0,0
23.69475599999987,43,30,265941,116750,14399,13847,10977,7596,5942,11201,0,0
24.7051363999999,41,44,497830,6945,2907,1719,3228,1298,1992,872,0,0
25.71649189999971,40,26,43872,103948,6913,9297,3847,4155,3425,7434,0,0
26.71757660000003,30,27,96979,12860,1227,2542,1534,778,1097,710,0,0
27.71909440000036,35,43,21285,38823,32242,11527,10236,6786,4055,2173,0,0
28.727899100000286,30,48,20802,19759,15496,5847,6100,3452,977,2771,0,0
30.746377100000245,44,64,76033,4269,4158,8723,4896,4586,1030,1174,0,0
31.747362500000236,44,60,281319,192802,14155,14357,6617,11812,1869,3106,0,0
32.751579499999934,51,60,18950,8712,6399,10566,3825,5463,1769,3079,0,0
33.76468349999959,44,56,321294,40089,5305,25699,4899,6849,1967,1764,0,0
34.77188829999977,51,61,12103,31401,539,8423,3488,4437,2393,1560,0,0
35.77461260000018,50,54,124220,100821,9716,25561,15062,7969,6525,4207,0,0
37.800810300000194,37,44,529392,90470,16630,19841,1655,4164,1794,1530,0,0
40.81490670000039,34,40,471121,81307,25001,10387,4581,7458,5296,3566,0,0
42.82069169999977,30,40,466388,54715,5243,8249,2485,6412,3206,2481,0,0
44.840406999999686,37,43,825331,87623,44401,15989,26815,16896,58974,20010,0,0
45.853209799999604,44,37,43322,44277,4736,4624,3152,6069,1162,1480,0,0
46.86500359999991,47,27,28331,25613,1443,4110,2323,2632,793,404,0,0
48.87250479999966,44,26,160737,37026,5203,3594,8482,3145,1884,1336,0,0
49.87475170000016,47,26,15146,23433,7079,9706,15273,6567,6376,2000,0,0
50.88299290000032,48,38,55950,12500,5393,4130,1299,2972,947,941,0,0
51.885217699999885,54,47,77773,21820,8146,7683,11239,7690,11342,8435,0,0
54.904899000000114,60,43,491221,98767,25260,7282,10118,10337,26217,34518,0,0
55.90782930000023,63,47,160003,8028,7726,5544,3529,4457,2098,4167,0,0
56.912654900000234,53,47,476564,93453,28386,14734,12890,7291,4166,5691,0,0
57.926856600000065,40,63,82819,39909,39190,17508,8728,3644,7984,9566,0,0
58.93653919999997,38,66,42695,73054,24138,8502,4331,6468,2803,2360,0,0
60.95982720000029,21,51,506479,289903,46869,8847,11072,6605,3433,1044,0,0
61.965231700000004,23,57,87966,36100,19117,9932,2704,5568,3037,3202,0,0
63.99502490000032,26,41,245401,41234,5906,5184,2894,3075,5340,1576,0,0
65.00782170000002,34,50,17778,10645,11826,10549,9740,4620,1430,3960,0,0
66.00892230000045,51,57,1129566,121077,65312,39760,65514,53769,22776,21527,0,0
70.04620989999967,51,57,1473557,271918,165243,104685,113974,26922,24273,16602,0,51
71.04781650000041,51,63,200942,7465,8456,5925,3402,1895,1855,2580,0,0
72.05460409999978,50,67,335723,33737,7977,5585,6091,2125,5395,9712,0,0
74.07229470000038,48,69,1489874,45449,57734,37225,21707,15738,14588,9449,0,0
