time,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,blinkStrength,poorSignalLevel
0.913565100000028,23,48,23833,42359,19912,4081,6502,3594,3098,4665,0,0
1.9206769999999551,26,44,496820,33064,9957,6851,4599,8246,6867,3129,0,0
2.9117783000000372,23,37,60151,13445,2463,1362,1464,878,397,256,0,0
3.921505199999956,23,26,205016,26352,1748,3093,1103,700,689,622,0,0
4.901539899999989,35,26,32195,19528,8333,4400,3969,5425,2661,2679,0,0
5.911522200000036,44,21,19040,9561,3909,848,3593,5709,5918,3722,0,0
6.9006725000000415,61,17,15637,22353,3071,2413,4862,5134,3446,3573,0,0
8.898640699999987,75,40,42684,20793,43364,20183,10385,5743,4375,4648,0,0
8.91420770000002,53,37,235184,24655,5706,2181,2844,770,920,1093,0,0
9.907635700000014,41,48,9203,16147,10829,6851,4874,5368,3107,13128,0,0
10.909809799999948,29,48,967195,257117,31660,17906,21395,20502,18471,10548,0,0
11.89952889999995,17,35,169993,14843,3705,6344,3022,672,1172,2331,0,0
12.901658200000043,27,43,34666,36809,21773,5892,6987,3427,6941,8973,0,0
15.900361800000042,53,50,2712,10774,3981,9104,7106,6068,1977,3718,0,0
16.94658400000003,70,41,27377,18743,9070,1288,14209,8093,11153,4509,0,0
18.89044530000001,93,27,388170,57998,22823,6481,7105,19068,15486,4614,0,0
18.962459500000023,91,48,67261,11082,11098,24698,8304,10566,9089,11779,0,0
19.918261099999995,78,47,1048046,26999,10102,8203,2762,3991,11064,4108,0,0
20.932411600000023,60,54,1357368,204685,103690,21494,13822,17655,45602,32170,0,0
21.913742100000036,70,50,23556,5558,6171,1924,6165,27369,42856,15157,0,0
22.91058129999999,63,50,4619,11223,22612,11137,7136,9814,19913,7480,0,0
24.90010719999998,81,44,2872,20163,1860,9351,5015,8416,13296,18635,0,0
25.896729800000003,61,57,71321,24624,11656,21255,5850,10427,10905,7383,0,0
26.911562900000035,69,50,6792,8547,8558,5126,4553,12686,11306,5257,0,0
28.916181999999935,74,50,27878,19424,7454,11683,2472,21572,8099,9525,0,0
28.918803700000012,54,41,93653,48198,5803,1621,2036,1742,3878,2460,0,0
29.932081100000005,61,30,11642,10277,4593,1335,1619,6431,13360,7624,0,0
30.912706299999968,40,24,385781,149214,17200,33056,11021,10782,14755,11136,0,0
31.915744399999994,26,35,37128,24384,18966,25626,8413,8155,12154,9131,0,0
32.94919300000004,50,51,18288,7141,12300,6845,4626,11879,12791,7378,0,0
33.89430010000001,47,51,3687,11963,1588,4367,3307,4620,5416,3807,0,0
34.930586500000004,50,67,11118,16658,6504,29502,1986,4085,4028,1818,0,0
35.89676039999995,50,81,14625,2737,4777,33609,1743,5167,5026,4616,0,0
36.889314600000034,38,67,565078,57151,2330,17052,12371,8109,6015,5728,0,0
38.90633200000002,43,78,15778,6580,11129,3334,1652,10681,5214,2792,0,0
39.91464569999994,43,51,439550,124157,7019,8092,9878,10343,4893,5425,0,0
40.926946499999985,44,16,271008,22253,1878,1979,2909,4018,1309,1378,0,0
40.92801020000002,30,34,127329,75514,87342,11009,9734,3944,4034,3790,0,0
41.94154470000001,13,20,1081387,90270,12323,13627,15499,6701,6917,2872,0,0
42.95389739999996,23,41,6663,8580,14764,2031,6575,5854,3069,1756,0,0
44.89564189999999,35,44,6784,11755,8263,4399,6229,2687,1993,5112,0,0
45.940204300000005,44,57,13421,7059,3471,10091,3784,3742,2508,2718,0,0
46.90527569999995,38,53,17568,22920,9699,6555,5167,4866,5255,4686,0,0
48.91048569999998,43,63,11761,8412,12617,2803,1888,4346,3187,1765,0,0
48.913234399999965,38,51,73035,47556,2750,8364,7361,4061,2914,1689,0,0
49.92507839999996,30,44,17829,19244,8528,5515,4665,3161,7153,6702,0,0
50.913457499999936,37,38,12401,10693,3603,630,6915,3549,2964,3231,0,0
51.91236319999996,24,48,5679,4294,8078,25116,4624,1808,1859,1346,0,0
52.926792999999975,34,63,4280,10191,3845,9135,2306,3617,2082,2414,0,0
53.91239369999994,41,56,26660,20379,4302,3864,4575,6685,1695,1748,0,0
779335,48628,10361,24177,27216,15203,15519,21730,0,0
63.80311059999997,60,48,118486,56732,22339,10048,11438,19594,8936,12380,0,0
64.81944319999997,91,44,82274,26939,27225,6419,8315,27551,8130,4931,0,0
65.82408929999997,96,50,60314,29464,36562,2850,2270,9305,14020,4039,0,0
66.82613499999997,84,66,7145,19230,8493,41347,1415,5171,4896,4104,0,0
67.82785379999996,80,70,58686,23636,14651,10348,8321,7313,4219,2862,0,0
68.83024879999999,69,53,220105,65141,1725,6405,16607,14804,6650,4167,0,0
69.8355975,78,48,52016,8158,5426,5523,7363,4850,4416,5544,0,0
70.8519387,91,29,78912,44662,10263,13657,15625,15874,11109,7139,0,0
71.86161779999998,97,26,36054,22508,8192,13724,10134,10489,3103,7249,0,0
72.86387049999996,91,44,47576,17860,8918,4745,5059,3945,4949,3015,0,0
73.8654684,83,51,326947,15301,19713,8332,2329,5667,7704,5350,0,0
74.87846030000003,53,63,114100,17685,11761,4769,3711,774,2074,867,0,0
75.88214489999996,37,50,246929,92138,12429,2719,8427,6775,5697,6597,0,0
76.8831811,38,48,25134,12301,6143,4662,6796,3566,4058,4425,0,0
77.88676899999996,29,48,49677,15181,24379,18496,14486,4507,11825,4819,0,0
78.88845530000003,47,54,40029,20395,17324,25369,2377,4946,3362,2975,0,0
79.89036929999997,66,60,44304,9576,3720,1447,6232,5058,2124,3107,0,0
80.89635980000003,60,61,75120,38420,19878,8139,10809,6153,4196,1585,0,0
83.92666099999997,54,40,307488,295228,24277,28705,52662,16148,11020,7476,0,0
84.93723039999998,50,27,71082,35951,10164,20478,18994,3374,9647,7322,0,0
85.94015009999998,34,35,23379,29408,11551,5553,4722,4072,6525,2700,0,0
86.94259590000001,47,38,5527,8370,7061,7210,4256,6142,3812,4825,0,0
87.94484709999995,70,57,16940,6010,15256,11123,5523,11932,6797,2764,0,0
88.96094849999997,90,56,20637,15759,3431,6817,4446,5014,6061,5610,0,0
89.96278089999998,75,44,217850,123682,18258,4049,12487,3947,6388,1591,0,0
