time,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,blinkStrength,poorSignalLevel
12.385190999950282,0,0,363002,10319,8805,13559,4054,2898,1644,904,0,0
13.387316399952397,0,0,189124,16890,5951,6730,5942,1615,1099,1015,0,0
14.388927299994975,51,30,353456,69075,5148,5527,10965,22715,3326,6102,0,0
15.391879000002518,44,35,624337,206783,53728,43628,17635,13295,4860,3768,0,0
16.392991799977608,50,40,349491,39686,21918,19015,25512,10324,5577,5356,0,0
18.395008699968457,50,38,790299,83635,24829,7260,35203,11140,1296,1494,0,0
20.397439899970777,27,41,2775264,1170581,114766,78008,41619,46208,16724,10327,0,0
21.39891109999735,37,44,326587,151976,90500,42753,76290,28449,57307,24604,0,0
25.405366799910553,16,29,716290,121125,5905,12806,7061,7399,6261,912,0,0
26.40750209998805,29,26,80195,91980,7826,3921,21140,13580,7922,4304,0,0
27.409087499952875,38,17,266622,64514,4591,19573,14176,20367,8658,9107,0,0
29.411281600012444,47,23,334977,206805,50822,21889,30450,15477,5385,3996,0,0
30.413835300016217,56,38,135425,28436,20429,15761,7644,9782,8030,9353,0,0
31.41596729995217,60,56,522176,23868,16736,18438,13211,11394,7778,9403,0,0
33.418780399952084,56,64,818081,72963,31153,42700,20967,22866,7584,3851,0,0
35.42121129995212,53,67,991506,79366,17433,17670,8327,4885,4671,1206,0,0
36.4226006999379,51,51,88656,237362,11376,23997,25412,33594,6863,23987,0,0
37.42439870000817,50,48,371125,13467,9017,23448,39301,6764,14114,9137,0,0
39.427497899974696,41,40,213170,103340,20778,14440,14165,9342,1983,2820,0,0
41.430235699983314,51,47,222794,14131,9673,10351,3775,4700,2591,1510,0,0
43.43337709992193,37,53,99426,79033,14574,2406,4643,2367,1550,1108,0,0
44.43475789995864,24,56,1207946,157548,94017,44837,15529,13577,3840,7718,0,0
45.436177799943835,30,61,961445,78753,21340,30549,7602,18122,3263,7320,0,0
46.437523099943064,30,63,126050,8468,11070,3909,1762,3140,5490,2840,0,0
47.43866280000657,37,56,274857,380586,26717,10476,12126,16406,22451,10227,0,0
49.441814000019804,53,51,739976,53574,35436,5866,22926,23420,24615,6197,0,0
50.444065999938175,57,48,100551,28203,5482,6960,3282,7754,1851,1977,0,0
52.446695899940096,48,48,436563,52656,54841,29999,10443,7564,5220,5517,0,0
53.44798329996411,51,77,347146,6053,9831,10694,1470,1586,2057,1922,0,0
54.44922189996578,27,74,1316759,368666,75933,36814,19815,11001,10889,10706,0,0
58.45408319996204,20,57,253186,37889,8830,7241,6642,7089,1468,1652,0,0
59.45638270000927,24,48,1458036,260490,187554,67637,54015,55321,11620,6313,0,0
60.45782779995352,38,61,419673,33856,45018,19191,5039,7406,5212,4070,0,0
61.459345799987204,38,63,454787,52913,4270,10440,1164,3030,3251,682,0,0
62.46107039996423,38,64,248759,48519,14971,11459,3958,8373,12608,4761,0,0
64.46356159995776,41,66,20760,4777,2041,6370,4919,1962,1333,1993,0,0
65.46554599993397,56,54,77426,32864,3270,23605,18033,21283,9533,2249,0,0
66.47254029999021,67,60,114080,21430,9090,3351,1191,4384,1005,1323,0,0
67.47384390002117,64,43,402162,84943,45511,8655,18496,16125,6704,6841,0,0
68.47499010001775,44,47,310666,186991,54389,93007,35334,16175,6204,11091,0,0
69.47630500001833,34,37,694560,108881,13876,3982,10739,5221,3402,4459,0,0
71.47879789990839,30,43,959902,89221,2495,24182,8836,12127,4170,2394,0,0
72.48068519996013,30,43,470276,110211,48894,19508,24527,19639,26049,4389,0,0
73.48389069992118,34,43,90609,37224,16006,5403,2864,3389,2153,2592,0,0
74.48631089995615,30,48,809701,265688,3917,46796,31471,14707,20001,6162,0,0
75.48820379993413,37,38,97975,28628,1843,4785,5222,6991,2643,2034,0,0
76.48975419998169,41,47,2193353,64951,55549,55638,7932,14679,5556,21176,0,0
77.49099859991111,43,44,417429,92420,26338,18113,18231,12983,10554,4629,0,0
78.49201419996098,53,54,729537,93040,50048,14628,9325,22193,7611,12424,0,0
79.49345449998509,43,56,159793,105713,17335,6210,3582,9226,3418,5408,0,0
81.49527079996187,43,41,1525693,194729,24051,30758,14124,21794,11459,8859,0,0
84.50025749998167,47,35,603888,269474,32273,11992,18425,20989,28300,8577,0,0
85.50134909991175,43,30,2450809,166073,8756,27105,20106,11485,7646,5013,0,0
87.50347729993518,44,20,82236,10519,891,2858,2124,3062,744,411,0,0
88.50492639990989,50,30,1143674,147449,31197,45680,37383,37817,11085,9505,0,0
89.50659319991246,54,29,619463,95703,5610,9098,9572,11426,7331,4595,0,0
91.5088113999227,44,40,39657,6724,2343,3721,703,792,314,562,0,0
92.51032100000884,40,54,255231,11239,27282,8190,2166,4871,2301,2767,0,0
93.51192169997375,29,54,638522,340857,22530,22668,10239,14593,14113,5527,0,0
94.51397839991841,38,57,213544,108325,21263,26126,18829,25602,11643,7160,0,0
96.51684940000996,37,53,237281,164201,65064,11320,23247,13692,31103,12538,0,0
99.51971029990818,54,54,748885,270391,169843,16886,39639,51549,12566,5797,0,0
102.52345899993088,63,56,40515,49773,25468,4507,4290,26172,7262,7749,0,0
